,Spectral,Exponential,Series,k*,Nodes,Edges,Density
0,0.06901469230651855,0.0016091346740722656,0.002693319320678711,6,28,34,0.08994708994708994
1,0.2582037925720215,0.00777730941772461,0.004744243621826172,6,63,84,0.043010752688172046
2,0.7830296516418457,0.01619114875793457,0.019767618179321288,6,100,138,0.027878787878787878
3,4.747111797332764,0.04983463287353516,0.06148443222045898,6,188,260,0.014791216293093639
4,16.50354871749878,0.11324944496154785,0.2019129753112793,6,285,410,0.01013096120583148
5,54.33594431877136,0.19031062126159667,0.7810225486755371,7,422,625,0.007035832085645777
6,151.40330834388732,0.3038618564605713,2.745382785797119,7,592,892,0.005099007637078703
7,258.89778141975404,0.4369394302368164,6.443937110900879,7,710,1079,0.0042869345835237094
8,412.7131495475769,0.5661431789398194,10.493963241577148,7,826,1270,0.003727346100227456
9,616.7548156261444,0.7224172115325928,24.58086805343628,7,957,1483,0.0032419127066364117
10,1110.4201848506927,1.0995826721191406,23.797805547714233,7,1164,1803,0.0026637473296043826
